date,total_revenue,total_orders,total_items,unique_customers
2009-12-01,38749.49,97,22149,90
2009-12-02,36880.22,103,22914,90
2009-12-03,38203.32,113,19882,102
2009-12-04,30389.49,77,18185,75
2009-12-05,9803.05,30,5119,26
2009-12-06,24580.72,72,11592,63
2009-12-07,31510.510000000002,91,14892,76
2009-12-08,34977.5,98,19245,90
2009-12-09,26821.8,75,13598,73
2009-12-10,32641.12,85,20550,81
2009-12-11,24150.8,61,14974,54
2009-12-13,20449.98,68,11897,62
2009-12-14,43963.07,78,35963,67
2009-12-15,31659.04,88,18565,85
2009-12-16,34679.38,89,20969,81
2009-12-17,27386.0,82,14606,75
2009-12-18,23121.4,58,11524,52
2009-12-20,11015.33,32,6158,31
2009-12-21,10550.76,31,6484,30
2009-12-22,5865.46,20,8550,15
2009-12-23,8895.42,12,4286,11
2010-01-04,9066.22,25,7553,22
2010-01-05,15236.64,30,10097,30
2010-01-06,7684.45,12,5239,12
2010-01-07,23005.49,40,17113,40
2010-01-08,17165.11,40,9005,40
2010-01-10,14231.01,29,9600,28
2010-01-11,13031.25,39,7305,34
2010-01-12,12473.01,34,7978,31
2010-01-13,10042.35,23,6027,23
2010-01-14,23122.09,54,11681,46
2010-01-15,13210.54,44,8369,37
2010-01-17,14425.13,39,8748,35
2010-01-18,9874.41,35,6177,32
2010-01-19,20961.311,45,12495,41
2010-01-20,10962.6,32,7672,29
2010-01-21,20576.920000000002,48,10886,47
2010-01-22,19540.31,40,11922,38
2010-01-24,15227.22,49,8547,48
2010-01-25,18145.69,45,9095,44
2010-01-26,21958.27,76,14038,65
2010-01-27,20500.82,49,14031,45
2010-01-28,18181.43,53,10671,48
2010-01-29,15138.491,42,8568,35
2010-01-31,17683.39,48,10468,47
2010-02-01,14562.021,52,7914,46
2010-02-02,17546.21,39,9975,33
2010-02-03,16788.751,44,9321,41
2010-02-04,20170.32,59,10942,51
2010-02-05,13804.18,37,8613,35
2010-02-07,12258.9,29,8859,29
2010-02-08,12437.66,48,6960,45
2010-02-09,17515.02,51,10366,51
2010-02-10,6123.39,27,3088,24
2010-02-11,14519.04,53,8558,47
2010-02-12,9742.16,28,7333,27
2010-02-14,16331.6,43,10198,38
2010-02-15,22017.111,42,15529,35
2010-02-16,23664.5,58,14081,51
2010-02-17,22076.07,45,14768,41
2010-02-18,23151.37,61,12874,57
2010-02-19,11115.34,31,8683,28
2010-02-21,11477.911,37,5602,34
2010-02-22,21768.71,45,13207,41
2010-02-23,15946.9,43,9193,41
2010-02-24,24400.421,57,18773,45
2010-02-25,25783.93,63,15919,55
2010-02-26,12094.391,31,6409,26
2010-02-28,15573.42,53,8279,50
2010-03-01,20637.71,56,18232,48
2010-03-02,20494.65,51,10402,47
2010-03-03,26848.64,60,17797,53
2010-03-04,28570.36,72,17606,66
2010-03-05,15683.96,56,10662,53
2010-03-07,19230.27,50,10957,46
2010-03-08,18781.94,67,10926,64
2010-03-09,18572.2,52,10437,50
2010-03-10,21948.59,55,14114,46
2010-03-11,16942.88,46,9603,39
2010-03-12,13967.59,34,7644,30
2010-03-14,9032.7,24,4954,22
2010-03-15,17155.551,46,10622,40
2010-03-16,20944.04,43,12202,42
2010-03-17,21791.08,44,15763,40
2010-03-18,26406.69,78,17105,67
2010-03-19,19164.19,48,11595,44
2010-03-21,18024.38,54,10008,50
2010-03-22,18194.95,52,10221,49
2010-03-23,18478.64,62,10194,56
2010-03-24,20686.66,65,12282,59
2010-03-25,25259.63,73,14227,66
2010-03-26,21525.64,53,15456,47
2010-03-28,22318.54,59,14522,56
2010-03-29,15565.38,49,10263,36
2010-03-30,26037.97,66,16111,54
2010-03-31,23600.27,66,12383,58
2010-04-01,27230.98,74,15764,72
2010-04-06,15651.62,48,9706,45
2010-04-07,23289.39,59,17920,46
2010-04-08,29115.06,79,20556,68
2010-04-09,13199.89,32,7833,31
2010-04-11,17409.76,42,10014,40
2010-04-12,20289.041,42,10645,35
2010-04-13,19463.88,48,12291,42
2010-04-14,24433.78,43,14773,39
2010-04-15,19045.19,64,10405,57
2010-04-16,15270.24,36,12232,35
2010-04-18,22136.28,54,12252,43
2010-04-19,22633.03,60,13905,43
2010-04-20,20160.93,62,11874,53
2010-04-21,21833.93,56,11350,48
2010-04-22,28124.11,73,17024,66
2010-04-23,14577.28,51,9387,43
2010-04-25,16565.32,46,8319,44
2010-04-26,20737.24,70,11831,65
2010-04-27,31465.260000000002,72,18730,63
2010-04-28,29488.26,69,18045,61
2010-04-29,27964.801,76,15909,71
2010-04-30,14634.6,40,8590,35
2010-05-02,11755.33,39,5857,38
2010-05-04,17368.24,46,9933,42
2010-05-05,20439.88,64,12742,55
2010-05-06,38206.35,74,24642,67
2010-05-07,25629.85,56,19195,46
2010-05-09,22768.29,62,11871,52
2010-05-10,21943.96,67,12349,63
2010-05-11,24621.47,61,16895,58
2010-05-12,23333.67,62,18048,49
2010-05-13,21161.65,61,12060,58
2010-05-14,14211.25,39,10479,35
2010-05-16,17407.59,44,10536,38
2010-05-17,18009.9,45,10761,41
2010-05-18,16801.12,55,8419,46
2010-05-19,15606.3,57,8970,55
2010-05-20,23761.43,64,14613,55
2010-05-21,15843.22,43,7461,38
2010-05-23,24930.77,48,13846,41
2010-05-24,22428.96,67,15040,61
2010-05-25,19900.52,56,13809,51
2010-05-26,25431.39,67,16836,63
2010-05-27,28041.56,83,17115,77
2010-05-28,15982.03,49,10745,43
2010-05-30,10784.460000000001,31,6255,30
2010-06-01,12593.46,36,7684,33
2010-06-02,11748.95,39,9291,35
2010-06-03,23462.1,62,14482,52
2010-06-04,9322.74,33,5456,29
2010-06-06,25482.48,68,13996,62
2010-06-07,30645.43,96,19088,80
2010-06-08,22851.97,67,13113,59
2010-06-09,22305.6,59,15749,56
2010-06-10,17588.84,61,9485,55
2010-06-11,25923.86,67,17729,59
2010-06-13,20721.72,68,10858,61
2010-06-14,18226.91,47,12366,44
2010-06-15,21177.08,46,16599,41
2010-06-16,25818.42,76,17004,65
2010-06-17,22301.98,68,12945,61
2010-06-18,13254.22,46,7213,43
2010-06-20,6869.53,25,3494,25
2010-06-21,17054.1,43,10801,40
2010-06-22,12431.13,41,6359,36
2010-06-23,17687.74,56,11883,51
2010-06-24,17268.73,47,9461,42
2010-06-25,11719.04,38,6503,35
2010-06-27,16877.72,55,8946,52
2010-06-28,28571.51,66,19665,62
2010-06-29,26263.88,67,16445,55
2010-06-30,26403.07,73,17663,66
